INT	INT	STRING	STRING	STRING	STR	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INTARR	INT	STRING	STRING
1	1	角色卡_基础蛋池_机动套装_同期	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202003170800, 20200330075959}	card_1_base_card_21_Old_ZH	6		50				6	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_水着2期_同期	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202003300800, 20200415115959}	card_1_base_card_21_ZH	6		50				13	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_战术装备3期_同期	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202004151200, 20200428075959}	card_1_base_card_14_ZH	6		50				14	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_事务官_同期	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202004280800, 20200514075959}	card_1_base_card_19_ZH	6		50				17	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_春季约会_同期（事务官）	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202005140800, 20200614115959}	card_1_base_card_23_ZH	6		50				19	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_童话_同期	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202006141200, 20200629075959}	card_1_base_card_24_ZH	6		50				22	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_闲情记趣_同期	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202006290800, 20200809035959}	card_1_base_card_26_ZH	6		50				25	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_音乐会（下）_同期	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202008090400, 20200828075959}	card_1_base_card_30_ZH	6		50				28	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_浴衣_同期	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202008280800, 20200911075959}	card_1_base_card_31_ZH	6		50				30	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_圣诞新年复刻_同期	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202009110800, 20201030075959}	card_1_base_card_32_ZH	6		50				32	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_万圣节_同期	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202010300800, 20201119075959}	card_1_base_card_35_ZH	6		50				36	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_破晓慕心_同期_ZH	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202011190800, 20201224075959}	card_1_base_card_37_ZH	6		50				38	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_神选颂歌_同期_ZH	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202012240800, 20210113075959}	card_1_base_card_39_ZH	6		50				41	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_边缘保护者_同期_ZH	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202101130800, 20210202075959}	card_1_base_card_40_ZH	6		50				412	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_冬幕恋歌_同期_ZH	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202102020800, 20210331075959}	card_1_base_card_41_ZH	6		50				421	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_我就喜欢！_同期_ZH	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202103310800, 20210423075959}	card_1_base_card_44_ZH	6		50				444	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_铭心红枫_同期_ZH	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202104230800, 20210601075959}	card_1_base_card_45_ZH	6		50				445	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_星与尘间的道标_同期_ZH（加入天平与剑）	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202106010800, 202107120800}	card_1_base_card_49_ZH	6		50				449	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_水手服_同期_ZH（加入旗袍二期）	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202107120800, 202107300800}	card_1_base_card_51_ZH	6		50				451	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_凡尘相伴_同期_ZH（加入水手服）	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202107300800, 202109090800}	card_1_base_card_52_ZH	6		50				452	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_漫游奇境_(童话2期）_同期_ZH（加入怪盗/侦探）	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202109090800, 202109290800}	card_1_base_card_58_ZH	6		50				458	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_黄金纪行_复刻_同期_ZH（加入童话2期）	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202109290800, 202111190800}	card_1_base_card_59_ZH	6		50				459	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_浮诗众生（神曲上）同期_ZH（加入猫耳）	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202111190800, 202112230800}	card_1_base_card_61_ZH	6		50				461	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_心形缤纷_同期_ZH（加入神曲）	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202112230800, 202201260800}	card_1_base_card_63_ZH	6		50				463	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_跨界电击_同期_ZH（加入异世界）	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202201260800, 202203160800}	card_1_base_card_65_ZH	6		50				465	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_冬幕恋歌_复刻_同期_ZH（加入旗袍3期）	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202203160800, 202205180800}	card_1_base_card_66_ZH	6		50				466	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_凡尘相伴_复刻_同期_ZH（加入旗袍4期）	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202205180800, 207701010800}	card_1_base_card_70_ZH	6		50				467	1	[7-1-4-2-1]	1	150						
																																		
401	1	自选角色卡_命中注定的邂逅_第1期_(闲情记趣同期基础池）	gacha.gacha.401.name	Poster/event_gacha109_banner_Mul	Poster/event_gacha109_Mul	gacha.gacha.401.timedesc	gacha.gacha.401.desc	Poster/event_gacha109_banner_Mul	gacha.gacha.401.info	0	[9-12-1-1-1]	[9-13-1-1-1]	3			{202007130800, 202007240400}	card_401_ZH	1	4	50	100	300	[8-10-401-4]	25	2	[7-1-4-2-1]	1	150						
																																		
666	1	新人补给蛋池_基础蛋池_前五期UP+旗袍	gacha.gacha.666.name	Poster/event_gacha104_banner_Mul	Poster/event_gacha104_Mul	gacha.gacha.666.timedesc	gacha.gacha.666.desc	Poster/event_gacha104_banner_Mul	gacha.gacha.666.info	1		[9-19-1-1-1]	2	2		{202005140800, 20210310075959}	card_1_base_card_11_12_ZH	3						666	1	[7-1-4-2-1]	1	150						
666	1	新人补给蛋池_基础蛋池_新增(水着二期、战术三期、事务官一期)	gacha.gacha.666.name	Poster/event_gacha104_banner_Mul	Poster/event_gacha104_Mul	gacha.gacha.666.timedesc	gacha.gacha.666.desc	Poster/event_gacha104_banner_Mul	gacha.gacha.666.info	1		[9-19-1-1-1]	2	2		{202103100800, 207708292359}	card_1_20210303	3						666	1	[7-1-4-2-1]	1	150						
																																		
2	0	武器蛋池_UP_限定补给1期	gacha.gacha.weapon_02.name	Poster/event_wqgacha02_Mul	Poster/event_wqgacha02_banner_Mul	gacha.gacha.weapon_02.timedesc	gacha.gacha.weapon_02.desc	Poster/event_wqgacha02_banner_Mul	gacha.gacha.weapon_02.info	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{201912230800, 202001030400}	weapon_2_up	4						103	3		1	90						
503	0	武器蛋池_UP_首发补给1期_春节	gacha.gacha.weapon_503.name	Poster/event_wqgacha03_Mul	Poster/event_wqgacha03_banner_Mul	gacha.gacha.weapon_503.timedesc	gacha.gacha.weapon_503.desc	Poster/event_wqgacha03_banner_Mul	gacha.gacha.weapon_503.info	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202001201200, 202002070400}	weapon_3_up_Mul	4						104	3		1	90						
504	0	武器蛋池_UP_首发补给2期	gacha.gacha.weapon_504.name	Poster/event_wqgacha04_Mul	Poster/event_wqgacha04_banner_Mul	gacha.gacha.weapon_504.timedesc	gacha.gacha.weapon_504.desc	Poster/event_wqgacha04_banner_Mul	gacha.gacha.weapon_504.info	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202003170800, 202003300400}	weapon_4_up_Mul	3						103	3		1	90						
505	0	武器蛋池_UP_首发补给3期	gacha.gacha.weapon_505.name	Poster/event_wqgacha06_Mul	Poster/event_wqgacha06_banner_Mul	gacha.gacha.weapon_505.timedesc	gacha.gacha.weapon_505.desc	Poster/event_wqgacha06_banner_Mul	gacha.gacha.weapon_505.info	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202005290800, 202006140400}	weapon_5_up_Mul	3						107	3		1	90						
506	0	武器蛋池_UP_限定补给2期	gacha.gacha.weapon_506.name	Poster/event_wqgacha07_Mul	Poster/event_wqgacha07_banner_Mul	gacha.gacha.weapon_506.timedesc	gacha.gacha.weapon_506.desc	Poster/event_wqgacha07_banner_Mul	gacha.gacha.weapon_506.info	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202007240800, 202008250400}	weapon_6_up_Mul	3						108	3		1	90						
507	0	武器蛋池_UP_首发补给4期	gacha.gacha.weapon_507.name	Poster/event_wqgacha08_Mul	Poster/event_wqgacha08_banner_Mul	gacha.gacha.weapon_507.timedesc	gacha.gacha.weapon_507.desc	Poster/event_wqgacha08_banner_Mul	gacha.gacha.weapon_507.info	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202009110800, 202009250400}	weapon_7_up_Mul	3						109	3		1	90						
508	0	武器蛋池_UP_首发补给5期	gacha.gacha.weapon_508.name	Poster/event_wqgacha09_Mul	Poster/event_wqgacha09_banner_Mul	gacha.gacha.weapon_508.timedesc	gacha.gacha.weapon_508.desc	Poster/event_wqgacha09_banner_Mul	gacha.gacha.weapon_508.info	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202010300800, 202011190400}	weapon_8_up_Mul	3						111	3		1	90						
509	0	武器蛋池_UP_限定补给3期_周年庆下期	gacha.gacha.weapon_509.name	Poster/event_wqgacha10_Mul	Poster/event_wqgacha10_banner_Mul	gacha.gacha.weapon_509.timedesc	gacha.gacha.weapon_509.desc	Poster/event_wqgacha10_banner_Mul	gacha.gacha.weapon_509.info	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202012080800, 202012240400}	weapon_9_up_Mul	3						113	3		1	90	1	1	{202012080800, 202012180400}			
510	0	武器蛋池_UP_首发补给6期_冬幕恋歌	gacha.gacha.weapon_510.name	Poster/event_wqgacha11_Mul	Poster/event_wqgacha11_banner_Mul	gacha.gacha.weapon_510.timedesc	gacha.gacha.weapon_510.desc	Poster/event_wqgacha11_banner_Mul	gacha.gacha.weapon_510.info	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202102020800, 202102240400}	weapon_510_up_Mul	3						610	3		1	90						
511	0	武器蛋池_UP_首发补给7期_醉刺玫	gacha.gacha.weapon_511.name	Poster/event_wqgacha12_Mul	Poster/event_wqgacha12_banner_Mul	gacha.gacha.weapon_511.timedesc	gacha.gacha.weapon_511.desc	Poster/event_wqgacha12_banner_Mul	gacha.gacha.weapon_511.info	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202106010800, 202106210400}	weapon_511_up_Mul	3						511	3		1	90						
515	0	武器蛋池_UP_首发补给8期_星辰大战	gacha.gacha.weapon_515.name	Poster/event_wqgacha16_Mul	Poster/event_wqgacha16_banner_Mul	gacha.gacha.weapon_515.timedesc	gacha.gacha.weapon_515.desc	Poster/event_wqgacha16_banner_Mul	gacha.gacha.weapon_515.info	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202107300800, 202108200400}	weapon_515_up_Mul	3						515	3		1	90						
516	0	武器蛋池_UP_首发补给9期_新概念军械	gacha.gacha.weapon_516.name	Poster/event_wqgacha17_Mul	Poster/event_wqgacha17_banner_Mul	gacha.gacha.weapon_516.timedesc	gacha.gacha.weapon_516.desc	Poster/event_wqgacha17_banner_Mul	gacha.gacha.weapon_516.info	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202109290800, 202110190400}	weapon_516_up_Mul	3						516	3		1	90						
517	0	武器蛋池_UP_限定补给2期（复刻）	gacha.gacha.weapon_517.name	Poster/event_wqgacha18_Mul	Poster/event_wqgacha18_banner_Mul	gacha.gacha.weapon_517.timedesc	gacha.gacha.weapon_517.desc	Poster/event_wqgacha18_banner_Mul	gacha.gacha.weapon_517.info	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202109290800, 202110190400}	weapon_517_up_Mul	3						517	3		1	90						
518	0	武器蛋池_UP_限定补给1期（复刻）	gacha.gacha.weapon_518.name	Poster/event_wqgacha19_Mul	Poster/event_wqgacha19_banner_Mul	gacha.gacha.weapon_518.timedesc	gacha.gacha.weapon_518.desc	Poster/event_wqgacha19_banner_Mul	gacha.gacha.weapon_518.info	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202111010800, 202111190400}	weapon_518_up_Mul	3						518	3		1	90						
519	0	武器蛋池_UP_限定补给4期_2周年庆	gacha.gacha.weapon_519.name	Poster/event_wqgacha20_Mul	Poster/event_wqgacha20_banner_Mul	gacha.gacha.weapon_519.timedesc	gacha.gacha.weapon_519.desc	Poster/event_wqgacha20_banner_Mul	gacha.gacha.weapon_519.info	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202111190800, 202112230400}	weapon_519_up_Mul	2						519	3		1	90	1	1	{202111190800, 202111290400}			
520	0	武器蛋池_UP_首发补给10期_联动版本	gacha.gacha.weapon_520.name	Poster/event_wqgacha21_Mul	Poster/event_wqgacha21_banner_Mul	gacha.gacha.weapon_520.timedesc	gacha.gacha.weapon_520.desc	Poster/event_wqgacha21_banner_Mul	gacha.gacha.weapon_520.info	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202201260800, 202202230400}	weapon_520_up_Mul	1						520	3		1	90						
																																		
1	0	武器蛋池	gacha.gacha.weapon.1.name	Poster/event_wqgacha01_Mul	Poster/event_wqgacha01_banner_Mul	gacha.gacha.1.timedesc	ui.UI_weaponnew_Ad1	Poster/event_wqgacha01_banner_Mul	ui.UI_weaponnew_des1	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{201808190000, 20200217075959}	weapon_1	5						3	3		1	90						
1	0	武器_基础蛋池_睡衣同期	gacha.gacha.weapon.1.name	Poster/event_wqgacha01_Mul	Poster/event_wqgacha01_banner_Mul	gacha.gacha.1.timedesc	ui.UI_weaponnew_Ad1	Poster/event_wqgacha01_banner_Mul	ui.UI_weaponnew_des1	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202002170800, 20200330075959}	weapon_1_base_weapon_3_up_Mul	5						104	3		1	90						
1	0	武器_基础蛋池_水着2期_同期	gacha.gacha.weapon.1.name	Poster/event_wqgacha01_Mul	Poster/event_wqgacha01_banner_Mul	gacha.gacha.1.timedesc	ui.UI_weaponnew_Ad1	Poster/event_wqgacha01_banner_Mul	ui.UI_weaponnew_des1	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202003300800, 20200614115959}	weapon_1_base_weapon_4_up_Mul	5						106	3		1	90						
1	0	武器_基础蛋池_童话_同期	gacha.gacha.weapon.1.name	Poster/event_wqgacha01_Mul	Poster/event_wqgacha01_banner_Mul	gacha.gacha.1.timedesc	ui.UI_weaponnew_Ad1	Poster/event_wqgacha01_banner_Mul	ui.UI_weaponnew_des1	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202006141200, 20200925075959}	weapon_1_base_weapon_5_up_Mul	5						23	3		1	90						
1	0	武器_基础蛋池_黄金纪行_同期	gacha.gacha.weapon.1.name	Poster/event_wqgacha01_Mul	Poster/event_wqgacha01_banner_Mul	gacha.gacha.1.timedesc	ui.UI_weaponnew_Ad1	Poster/event_wqgacha01_banner_Mul	ui.UI_weaponnew_des1	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202009250800, 20201119075959}	weapon_1_base_weapon_7_up_Mul	5						110	3		1	90						
1	0	武器_基础蛋池_破晓慕心_同期_ZH	gacha.gacha.weapon.1.name	Poster/event_wqgacha01_Mul	Poster/event_wqgacha01_banner_Mul	gacha.gacha.1.timedesc	ui.UI_weaponnew_Ad1	Poster/event_wqgacha01_banner_Mul	ui.UI_weaponnew_des1	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202011190800, 20210224075959}	weapon_1_base_weapon_8_up_Mul	5						112	3		1	90						
1	0	武器_基础蛋池_店中当家_同期_ZH_(加入首发补给6期）	gacha.gacha.weapon.1.name	Poster/event_wqgacha01_Mul	Poster/event_wqgacha01_banner_Mul	gacha.gacha.1.timedesc	ui.UI_weaponnew_Ad1	Poster/event_wqgacha01_banner_Mul	ui.UI_weaponnew_des1	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202102240800, 202106210800}	weapon_1_base_weapon_510_up_Mul	5						114	3		1	90						
1	0	武器_基础蛋池_旗袍2期_同期_ZH_(加入首发补给7期）	gacha.gacha.weapon.1.name	Poster/event_wqgacha01_Mul	Poster/event_wqgacha01_banner_Mul	gacha.gacha.1.timedesc	ui.UI_weaponnew_Ad1	Poster/event_wqgacha01_banner_Mul	ui.UI_weaponnew_des1	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202106210800, 202108200800}	weapon_1_base_weapon_511_up_Mul	5						115	3		1	90						
1	0	武器_基础蛋池_演绎法_(怪盗/侦探）_同期_ZH_(加入首发补给8期）	gacha.gacha.weapon.1.name	Poster/event_wqgacha01_Mul	Poster/event_wqgacha01_banner_Mul	gacha.gacha.1.timedesc	ui.UI_weaponnew_Ad1	Poster/event_wqgacha01_banner_Mul	ui.UI_weaponnew_des1	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202108200800, 202110190800}	weapon_1_base_weapon_515_up_Mul	5						116	3		1	90						
1	0	武器_基础蛋池_猫耳_同期_ZH_(加入首发补给9期）	gacha.gacha.weapon.1.name	Poster/event_wqgacha01_Mul	Poster/event_wqgacha01_banner_Mul	gacha.gacha.1.timedesc	ui.UI_weaponnew_Ad1	Poster/event_wqgacha01_banner_Mul	ui.UI_weaponnew_des1	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202110190800, 202202230800}	weapon_1_base_weapon_516_up_Mul	5						117	3		1	90						
1	0	武器_基础蛋池_玉壶星雨_同期_ZH_(加入首发补给10期）	gacha.gacha.weapon.1.name	Poster/event_wqgacha01_Mul	Poster/event_wqgacha01_banner_Mul	gacha.gacha.1.timedesc	ui.UI_weaponnew_Ad1	Poster/event_wqgacha01_banner_Mul	ui.UI_weaponnew_des1	0	[7-7-1-4-1]	[7-10-1-4-1]	0			{202202230800, 207703012359}	weapon_1_base_weapon_520_up_Mul	5						118	3		1	90						
																																		
43	1	角色卡_店中当家（第二期）_ZH	gacha.gacha.4302.name	Poster/event_gacha120_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4302.timedesc	gacha.gacha.4302.desc	Poster/event_gacha120_banner_Mul	gacha.gacha.4302.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202103180400, 20210402035959}	card_43_2_ZH	3		50	100	300	[8-10-102-4]	4302	2	[7-1-4-2-1]	1	150				2		
43	1	角色卡_店中当家（第三期）_ZH	gacha.gacha.43.name	Poster/event_gacha120a_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.43.timedesc	gacha.gacha.43.desc	Poster/event_gacha120a_banner_Mul	gacha.gacha.43.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202104020400, 202104170400}	card_43_3_base_card_44_ZH	3		50	100	300	[8-10-103-4]	4303	2	[7-1-4-2-1]	1	150				3		
43	1	角色卡_店中当家（第四期）_ZH	gacha.gacha.43b.name	Poster/event_gacha120b_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.43b.timedesc	gacha.gacha.43b.desc	Poster/event_gacha120b_banner_Mul	gacha.gacha.43b.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202104170400, 202105020400}	card_43_3_base_card_45_ZH	3		50	100	300	[8-10-104-4]	4304	2	[7-1-4-2-1]	1	150				4		
43	1	角色卡_店中当家（第五期）_ZH	gacha.gacha.4305.name	Poster/event_gacha12005_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4305.timedesc	gacha.gacha.4305.desc	Poster/event_gacha12005_banner_Mul	gacha.gacha.4305.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202105020400, 202105170400}	card_43_3_base_card_45_ZH_05	3		50	100	300	[8-10-105-4]	4305	2	[7-1-4-2-1]	1	150				5		
43	1	角色卡_店中当家（第六期）_ZH	gacha.gacha.4306.name	Poster/event_gacha12006_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4306.timedesc	gacha.gacha.4306.desc	Poster/event_gacha12006_banner_Mul	gacha.gacha.4306.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202105170400, 202105200800}	card_43_3_base_card_45_ZH_06	3		50	100	300	[8-10-106-4]	4306	2	[7-1-4-2-1]	1	150				6		
43	1	角色卡_店中当家（第七期）_ZH	gacha.gacha.4307.name	Poster/event_gacha12007_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4307.timedesc	gacha.gacha.4307.desc	Poster/event_gacha12007_banner_Mul	gacha.gacha.4307.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202106020400, 202106170400}	card_43_3_base_card_49_ZH_07	3		50	100	300	[8-10-107-4]	4307	2	[7-1-4-2-1]	1	150				7		
