NUL	INT	INT	NUL	INT	INT	INT	INT	INT	STRARR	INT	INT	INT	INTARR	INTARR	INT	INT	INT	NUL	INT	INTARR2	INTARR2	INTARR2	INTARR2	INT	INT	INT	INTARR2	INT	STR	STR	BOOL	INT	INT	STR	INTARR2	INTARR2	MAP	MAP	MAP	MAP
7	2	1	Level7_2(普通)	66	1	1	1	2	main7-8/masterstroke_7_202	38	803	300	1	5	1				1	[[15-2-1-1-20],[3-3-2-3-1],[7-3-1-2-5],[15-1-1-1-2000]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[3-3-2-1-1-100-0-0],[3-2-2-1-1-100-0-0],[3-1-2-1-1-100-0-0],[3-4-2-1-1-100-0-0],[3-3-2-2-1-100-0-0],[3-2-2-2-1-100-0-0],[3-1-2-2-1-100-0-0],[3-4-2-2-1-100-0-0],[3-3-2-3-1-100-0-0],[3-2-2-3-1-100-0-0],[3-1-2-3-1-100-0-0],[3-4-2-3-1-100-0-0],[3-3-2-4-1-100-0-0],[3-2-2-4-1-100-0-0],[3-1-2-4-1-100-0-0],[3-4-2-4-1-100-0-0],[3-3-2-5-1-100-0-0],[3-2-2-5-1-100-0-0],[3-1-2-5-1-100-0-0],[3-4-2-5-1-100-0-0],[3-3-1-1-1-200-0-0],[3-2-1-1-1-200-0-0],[3-1-1-1-1-200-0-0],[3-4-1-1-1-200-0-0],[3-3-1-2-1-200-0-0],[3-2-1-2-1-200-0-0],[3-1-1-2-1-200-0-0],[3-4-1-2-1-200-0-0],[3-3-1-3-1-200-0-0],[3-2-1-3-1-200-0-0],[3-1-1-3-1-200-0-0],[3-4-1-3-1-200-0-0],[3-3-1-4-1-200-0-0],[3-2-1-4-1-200-0-0],[3-1-1-4-1-200-0-0],[3-4-1-4-1-200-0-0],[3-3-1-5-1-200-0-0],[3-2-1-5-1-200-0-0],[3-1-1-5-1-200-0-0],[3-4-1-5-1-200-0-0],[7-1-3-1-1-776-0-0],[7-1-1-1-1-776-0-0],[7-1-2-1-1-776-0-0],[7-1-5-1-1-776-0-0],[7-1-6-1-1-776-0-0]	[9-16-1-1],[6-6-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1056	6	300	[984,1],[952,12],[1162,10],[1101,6],[1106,4],[1111,4],[1127,1],[1116,3],[1132,1]	10200				5	0		[0]	[1]				
7	3	1	Level7_3(普通)	67	1	1	1	3	main7-8/masterstroke_7_301;main7-8/masterstroke_7_302	39	803	300	1	5	1				1	[[7-7-1-4-1],[3-2-2-3-1],[7-3-1-2-5],[15-1-1-1-2000]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[3-3-2-1-1-100-0-0],[3-2-2-1-1-100-0-0],[3-1-2-1-1-100-0-0],[3-4-2-1-1-100-0-0],[3-3-2-2-1-100-0-0],[3-2-2-2-1-100-0-0],[3-1-2-2-1-100-0-0],[3-4-2-2-1-100-0-0],[3-3-2-3-1-100-0-0],[3-2-2-3-1-100-0-0],[3-1-2-3-1-100-0-0],[3-4-2-3-1-100-0-0],[3-3-2-4-1-100-0-0],[3-2-2-4-1-100-0-0],[3-1-2-4-1-100-0-0],[3-4-2-4-1-100-0-0],[3-3-2-5-1-100-0-0],[3-2-2-5-1-100-0-0],[3-1-2-5-1-100-0-0],[3-4-2-5-1-100-0-0],[3-3-1-1-1-200-0-0],[3-2-1-1-1-200-0-0],[3-1-1-1-1-200-0-0],[3-4-1-1-1-200-0-0],[3-3-1-2-1-200-0-0],[3-2-1-2-1-200-0-0],[3-1-1-2-1-200-0-0],[3-4-1-2-1-200-0-0],[3-3-1-3-1-200-0-0],[3-2-1-3-1-200-0-0],[3-1-1-3-1-200-0-0],[3-4-1-3-1-200-0-0],[3-3-1-4-1-200-0-0],[3-2-1-4-1-200-0-0],[3-1-1-4-1-200-0-0],[3-4-1-4-1-200-0-0],[3-3-1-5-1-200-0-0],[3-2-1-5-1-200-0-0],[3-1-1-5-1-200-0-0],[3-4-1-5-1-200-0-0],[7-1-3-1-1-776-0-0],[7-1-1-1-1-776-0-0],[7-1-2-1-1-776-0-0],[7-1-5-1-1-776-0-0],[7-1-6-1-1-776-0-0]	[9-16-1-1],[6-6-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1057	6	300	[961,11],[1221,6],[1043,13],[950,2],[1151,15],[978,2],[951,2],[949,2],[981,1]	10350				5	0		[2]	[0]				
7	4	1	Level7_4(普通)	68	1	1	1	1	main7-8/masterstroke_7_401	40	803	300	1	5	1				1	[[15-2-1-1-20],[3-4-2-3-1],[7-3-1-2-5],[15-1-1-1-2000]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[3-3-2-1-1-100-0-0],[3-2-2-1-1-100-0-0],[3-1-2-1-1-100-0-0],[3-4-2-1-1-100-0-0],[3-3-2-2-1-100-0-0],[3-2-2-2-1-100-0-0],[3-1-2-2-1-100-0-0],[3-4-2-2-1-100-0-0],[3-3-2-3-1-100-0-0],[3-2-2-3-1-100-0-0],[3-1-2-3-1-100-0-0],[3-4-2-3-1-100-0-0],[3-3-2-4-1-100-0-0],[3-2-2-4-1-100-0-0],[3-1-2-4-1-100-0-0],[3-4-2-4-1-100-0-0],[3-3-2-5-1-100-0-0],[3-2-2-5-1-100-0-0],[3-1-2-5-1-100-0-0],[3-4-2-5-1-100-0-0],[3-3-1-1-1-200-0-0],[3-2-1-1-1-200-0-0],[3-1-1-1-1-200-0-0],[3-4-1-1-1-200-0-0],[3-3-1-2-1-200-0-0],[3-2-1-2-1-200-0-0],[3-1-1-2-1-200-0-0],[3-4-1-2-1-200-0-0],[3-3-1-3-1-200-0-0],[3-2-1-3-1-200-0-0],[3-1-1-3-1-200-0-0],[3-4-1-3-1-200-0-0],[3-3-1-4-1-200-0-0],[3-2-1-4-1-200-0-0],[3-1-1-4-1-200-0-0],[3-4-1-4-1-200-0-0],[3-3-1-5-1-200-0-0],[3-2-1-5-1-200-0-0],[3-1-1-5-1-200-0-0],[3-4-1-5-1-200-0-0],[7-1-3-1-1-776-0-0],[7-1-1-1-1-776-0-0],[7-1-2-1-1-776-0-0],[7-1-5-1-1-776-0-0],[7-1-6-1-1-776-0-0]	[9-16-1-1],[6-6-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1058	6	300	[1151,18],[952,8],[1216,3],[1043,6],[996,1],[961,4],[951,2],[1121,3],[1221,3],[949,2],[1217,1]	10500				5	0		[2]	[0]				
7	5	1	Level7_5(普通)	69	1	1	1	2	main7-8/masterstroke_7_502	40	803	300	1	5	1				1	[[15-2-1-1-20],[3-1-2-1-1],[7-3-1-2-5],[15-1-1-1-2000]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[3-3-2-1-1-100-0-0],[3-2-2-1-1-100-0-0],[3-1-2-1-1-100-0-0],[3-4-2-1-1-100-0-0],[3-3-2-2-1-100-0-0],[3-2-2-2-1-100-0-0],[3-1-2-2-1-100-0-0],[3-4-2-2-1-100-0-0],[3-3-2-3-1-100-0-0],[3-2-2-3-1-100-0-0],[3-1-2-3-1-100-0-0],[3-4-2-3-1-100-0-0],[3-3-2-4-1-100-0-0],[3-2-2-4-1-100-0-0],[3-1-2-4-1-100-0-0],[3-4-2-4-1-100-0-0],[3-3-2-5-1-100-0-0],[3-2-2-5-1-100-0-0],[3-1-2-5-1-100-0-0],[3-4-2-5-1-100-0-0],[3-3-1-1-1-200-0-0],[3-2-1-1-1-200-0-0],[3-1-1-1-1-200-0-0],[3-4-1-1-1-200-0-0],[3-3-1-2-1-200-0-0],[3-2-1-2-1-200-0-0],[3-1-1-2-1-200-0-0],[3-4-1-2-1-200-0-0],[3-3-1-3-1-200-0-0],[3-2-1-3-1-200-0-0],[3-1-1-3-1-200-0-0],[3-4-1-3-1-200-0-0],[3-3-1-4-1-200-0-0],[3-2-1-4-1-200-0-0],[3-1-1-4-1-200-0-0],[3-4-1-4-1-200-0-0],[3-3-1-5-1-200-0-0],[3-2-1-5-1-200-0-0],[3-1-1-5-1-200-0-0],[3-4-1-5-1-200-0-0],[7-1-3-1-1-776-0-0],[7-1-1-1-1-776-0-0],[7-1-2-1-1-776-0-0],[7-1-5-1-1-776-0-0],[7-1-6-1-1-776-0-0]	[9-16-1-1],[6-6-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1059	6	300	[1256,20],[1221,1],[1226,1],[1241,5],[1251,1],[1246,12],[1247,1],[1262,2],[1261,7]	10500				5	0		[3]	[4]				
7	6	1	Level7_6(普通)	70	1	1	1	2	main7-8/masterstroke_7_602	30	804	300	1	5	1				1	[[9-12-1-1-1],[3-3-2-1-1],[7-3-1-2-5],[15-1-1-1-2000]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[3-3-2-1-1-100-0-0],[3-2-2-1-1-100-0-0],[3-1-2-1-1-100-0-0],[3-4-2-1-1-100-0-0],[3-3-2-2-1-100-0-0],[3-2-2-2-1-100-0-0],[3-1-2-2-1-100-0-0],[3-4-2-2-1-100-0-0],[3-3-2-3-1-100-0-0],[3-2-2-3-1-100-0-0],[3-1-2-3-1-100-0-0],[3-4-2-3-1-100-0-0],[3-3-2-4-1-100-0-0],[3-2-2-4-1-100-0-0],[3-1-2-4-1-100-0-0],[3-4-2-4-1-100-0-0],[3-3-2-5-1-100-0-0],[3-2-2-5-1-100-0-0],[3-1-2-5-1-100-0-0],[3-4-2-5-1-100-0-0],[3-3-1-1-1-200-0-0],[3-2-1-1-1-200-0-0],[3-1-1-1-1-200-0-0],[3-4-1-1-1-200-0-0],[3-3-1-2-1-200-0-0],[3-2-1-2-1-200-0-0],[3-1-1-2-1-200-0-0],[3-4-1-2-1-200-0-0],[3-3-1-3-1-200-0-0],[3-2-1-3-1-200-0-0],[3-1-1-3-1-200-0-0],[3-4-1-3-1-200-0-0],[3-3-1-4-1-200-0-0],[3-2-1-4-1-200-0-0],[3-1-1-4-1-200-0-0],[3-4-1-4-1-200-0-0],[3-3-1-5-1-200-0-0],[3-2-1-5-1-200-0-0],[3-1-1-5-1-200-0-0],[3-4-1-5-1-200-0-0],[7-1-3-1-1-776-0-0],[7-1-1-1-1-776-0-0],[7-1-2-1-1-776-0-0],[7-1-5-1-1-776-0-0],[7-1-6-1-1-776-0-0]	[9-16-1-1],[6-6-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1060	6	300	[1246,15],[1261,4],[1252,1],[1256,24],[1251,2],[1021,1],[1242,1],[1011,2],[1241,3]	10770				5	0		[3]	[4]				
7	7	1	Level7_7(普通)	71	1	2	1	2	main7-8/masterstroke_7_702	30	804	300	1	5	1				1	[[15-2-1-1-20],[3-2-2-1-1],[7-3-1-2-5],[15-1-1-1-2000]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[3-3-2-1-1-100-0-0],[3-2-2-1-1-100-0-0],[3-1-2-1-1-100-0-0],[3-4-2-1-1-100-0-0],[3-3-2-2-1-100-0-0],[3-2-2-2-1-100-0-0],[3-1-2-2-1-100-0-0],[3-4-2-2-1-100-0-0],[3-3-2-3-1-100-0-0],[3-2-2-3-1-100-0-0],[3-1-2-3-1-100-0-0],[3-4-2-3-1-100-0-0],[3-3-2-4-1-100-0-0],[3-2-2-4-1-100-0-0],[3-1-2-4-1-100-0-0],[3-4-2-4-1-100-0-0],[3-3-2-5-1-100-0-0],[3-2-2-5-1-100-0-0],[3-1-2-5-1-100-0-0],[3-4-2-5-1-100-0-0],[3-3-1-1-1-200-0-0],[3-2-1-1-1-200-0-0],[3-1-1-1-1-200-0-0],[3-4-1-1-1-200-0-0],[3-3-1-2-1-200-0-0],[3-2-1-2-1-200-0-0],[3-1-1-2-1-200-0-0],[3-4-1-2-1-200-0-0],[3-3-1-3-1-200-0-0],[3-2-1-3-1-200-0-0],[3-1-1-3-1-200-0-0],[3-4-1-3-1-200-0-0],[3-3-1-4-1-200-0-0],[3-2-1-4-1-200-0-0],[3-1-1-4-1-200-0-0],[3-4-1-4-1-200-0-0],[3-3-1-5-1-200-0-0],[3-2-1-5-1-200-0-0],[3-1-1-5-1-200-0-0],[3-4-1-5-1-200-0-0],[7-1-3-1-1-776-0-0],[7-1-1-1-1-776-0-0],[7-1-2-1-1-776-0-0],[7-1-5-1-1-776-0-0],[7-1-6-1-1-776-0-0]	[9-16-1-1],[6-6-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1061	6	300	[1029,1],[1002,25],[953,7],[1003,23],[1006,5],[1004,2],[1007,2],[1009,2],[987,3],[1021,2]	10770				5	0		[1]	[2]				
7	8	1	Level7_8(普通)	72	1	2	1	2	main7-8/masterstroke_7_802	31	804	300	1	5	1				1	[[15-2-1-1-20],[3-4-2-1-1],[7-3-1-2-5],[15-1-1-1-2000]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[3-3-2-1-1-100-0-0],[3-2-2-1-1-100-0-0],[3-1-2-1-1-100-0-0],[3-4-2-1-1-100-0-0],[3-3-2-2-1-100-0-0],[3-2-2-2-1-100-0-0],[3-1-2-2-1-100-0-0],[3-4-2-2-1-100-0-0],[3-3-2-3-1-100-0-0],[3-2-2-3-1-100-0-0],[3-1-2-3-1-100-0-0],[3-4-2-3-1-100-0-0],[3-3-2-4-1-100-0-0],[3-2-2-4-1-100-0-0],[3-1-2-4-1-100-0-0],[3-4-2-4-1-100-0-0],[3-3-2-5-1-100-0-0],[3-2-2-5-1-100-0-0],[3-1-2-5-1-100-0-0],[3-4-2-5-1-100-0-0],[3-3-1-1-1-200-0-0],[3-2-1-1-1-200-0-0],[3-1-1-1-1-200-0-0],[3-4-1-1-1-200-0-0],[3-3-1-2-1-200-0-0],[3-2-1-2-1-200-0-0],[3-1-1-2-1-200-0-0],[3-4-1-2-1-200-0-0],[3-3-1-3-1-200-0-0],[3-2-1-3-1-200-0-0],[3-1-1-3-1-200-0-0],[3-4-1-3-1-200-0-0],[3-3-1-4-1-200-0-0],[3-2-1-4-1-200-0-0],[3-1-1-4-1-200-0-0],[3-4-1-4-1-200-0-0],[3-3-1-5-1-200-0-0],[3-2-1-5-1-200-0-0],[3-1-1-5-1-200-0-0],[3-4-1-5-1-200-0-0],[7-1-3-1-1-776-0-0],[7-1-1-1-1-776-0-0],[7-1-2-1-1-776-0-0],[7-1-5-1-1-776-0-0],[7-1-6-1-1-776-0-0]	[9-16-1-1],[6-6-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1062	6	300	[1002,103],[953,28],[1003,48],[1004,12],[1005,16],[990,4],[1201,8],[1009,8],[993,4]	10950				5	0		[1]	[2]				
7	9	1	Level7_9(普通)	73	1	2	1	1	main7-8/masterstroke_7_901	31	804	300	1	5	1				1	[[7-7-1-4-1],[3-3-2-4-1],[7-3-1-2-5],[15-1-1-1-2000]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[3-3-2-1-1-100-0-0],[3-2-2-1-1-100-0-0],[3-1-2-1-1-100-0-0],[3-4-2-1-1-100-0-0],[3-3-2-2-1-100-0-0],[3-2-2-2-1-100-0-0],[3-1-2-2-1-100-0-0],[3-4-2-2-1-100-0-0],[3-3-2-3-1-100-0-0],[3-2-2-3-1-100-0-0],[3-1-2-3-1-100-0-0],[3-4-2-3-1-100-0-0],[3-3-2-4-1-100-0-0],[3-2-2-4-1-100-0-0],[3-1-2-4-1-100-0-0],[3-4-2-4-1-100-0-0],[3-3-2-5-1-100-0-0],[3-2-2-5-1-100-0-0],[3-1-2-5-1-100-0-0],[3-4-2-5-1-100-0-0],[3-3-1-1-1-200-0-0],[3-2-1-1-1-200-0-0],[3-1-1-1-1-200-0-0],[3-4-1-1-1-200-0-0],[3-3-1-2-1-200-0-0],[3-2-1-2-1-200-0-0],[3-1-1-2-1-200-0-0],[3-4-1-2-1-200-0-0],[3-3-1-3-1-200-0-0],[3-2-1-3-1-200-0-0],[3-1-1-3-1-200-0-0],[3-4-1-3-1-200-0-0],[3-3-1-4-1-200-0-0],[3-2-1-4-1-200-0-0],[3-1-1-4-1-200-0-0],[3-4-1-4-1-200-0-0],[3-3-1-5-1-200-0-0],[3-2-1-5-1-200-0-0],[3-1-1-5-1-200-0-0],[3-4-1-5-1-200-0-0],[7-1-3-1-1-776-0-0],[7-1-1-1-1-776-0-0],[7-1-2-1-1-776-0-0],[7-1-5-1-1-776-0-0],[7-1-6-1-1-776-0-0]	[9-16-1-1],[6-6-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1063	6	300	[1002,17],[953,14],[1003,15],[1190,2],[1202,1],[1004,3],[1226,3],[1009,1],[1005,1],[1216,1],[1201,1]	10950				5	0		[1]	[2]				
7	10	1	Level7_10(普通)	74	1	2	1	2	main7-8/masterstroke_71002	32	804	300	1	5	1				1	[[15-2-1-1-20],[3-2-2-4-1],[7-3-1-2-5],[15-1-1-1-2000]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[3-3-2-1-1-100-0-0],[3-2-2-1-1-100-0-0],[3-1-2-1-1-100-0-0],[3-4-2-1-1-100-0-0],[3-3-2-2-1-100-0-0],[3-2-2-2-1-100-0-0],[3-1-2-2-1-100-0-0],[3-4-2-2-1-100-0-0],[3-3-2-3-1-100-0-0],[3-2-2-3-1-100-0-0],[3-1-2-3-1-100-0-0],[3-4-2-3-1-100-0-0],[3-3-2-4-1-100-0-0],[3-2-2-4-1-100-0-0],[3-1-2-4-1-100-0-0],[3-4-2-4-1-100-0-0],[3-3-2-5-1-100-0-0],[3-2-2-5-1-100-0-0],[3-1-2-5-1-100-0-0],[3-4-2-5-1-100-0-0],[3-3-1-1-1-200-0-0],[3-2-1-1-1-200-0-0],[3-1-1-1-1-200-0-0],[3-4-1-1-1-200-0-0],[3-3-1-2-1-200-0-0],[3-2-1-2-1-200-0-0],[3-1-1-2-1-200-0-0],[3-4-1-2-1-200-0-0],[3-3-1-3-1-200-0-0],[3-2-1-3-1-200-0-0],[3-1-1-3-1-200-0-0],[3-4-1-3-1-200-0-0],[3-3-1-4-1-200-0-0],[3-2-1-4-1-200-0-0],[3-1-1-4-1-200-0-0],[3-4-1-4-1-200-0-0],[3-3-1-5-1-200-0-0],[3-2-1-5-1-200-0-0],[3-1-1-5-1-200-0-0],[3-4-1-5-1-200-0-0],[7-1-3-1-1-776-0-0],[7-1-1-1-1-776-0-0],[7-1-2-1-1-776-0-0],[7-1-5-1-1-776-0-0],[7-1-6-1-1-776-0-0]	[9-16-1-1],[6-6-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1064	6	300	[1281,19],[1271,7],[1004,4],[1151,2],[1276,3],[1286,5],[1266,4],[1287,1],[1272,1],[1005,2]	11100				5	0		[4]	[3]				
7	11	1	Level7_11(普通)	75	1	2	1	2	main7-8/masterstroke_71102	33	804	300	1	5	1				1	[[15-2-1-1-20],[3-1-2-4-1],[7-3-1-2-5],[15-1-1-1-2000]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[3-3-2-1-1-100-0-0],[3-2-2-1-1-100-0-0],[3-1-2-1-1-100-0-0],[3-4-2-1-1-100-0-0],[3-3-2-2-1-100-0-0],[3-2-2-2-1-100-0-0],[3-1-2-2-1-100-0-0],[3-4-2-2-1-100-0-0],[3-3-2-3-1-100-0-0],[3-2-2-3-1-100-0-0],[3-1-2-3-1-100-0-0],[3-4-2-3-1-100-0-0],[3-3-2-4-1-100-0-0],[3-2-2-4-1-100-0-0],[3-1-2-4-1-100-0-0],[3-4-2-4-1-100-0-0],[3-3-2-5-1-100-0-0],[3-2-2-5-1-100-0-0],[3-1-2-5-1-100-0-0],[3-4-2-5-1-100-0-0],[3-3-1-1-1-200-0-0],[3-2-1-1-1-200-0-0],[3-1-1-1-1-200-0-0],[3-4-1-1-1-200-0-0],[3-3-1-2-1-200-0-0],[3-2-1-2-1-200-0-0],[3-1-1-2-1-200-0-0],[3-4-1-2-1-200-0-0],[3-3-1-3-1-200-0-0],[3-2-1-3-1-200-0-0],[3-1-1-3-1-200-0-0],[3-4-1-3-1-200-0-0],[3-3-1-4-1-200-0-0],[3-2-1-4-1-200-0-0],[3-1-1-4-1-200-0-0],[3-4-1-4-1-200-0-0],[3-3-1-5-1-200-0-0],[3-2-1-5-1-200-0-0],[3-1-1-5-1-200-0-0],[3-4-1-5-1-200-0-0],[7-1-3-1-1-776-0-0],[7-1-1-1-1-776-0-0],[7-1-2-1-1-776-0-0],[7-1-5-1-1-776-0-0],[7-1-6-1-1-776-0-0]	[9-16-1-1],[6-6-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1065	6	300	[1267,2],[1271,3],[1281,18],[1266,3],[1276,6],[1116,1],[1286,3],[967,1],[1101,1],[1121,3],[1277,1]	11250				5	0		[4]	[3]				
7	12	1	Level7_12(普通)	76	3	2	1	2	main7-8/masterstroke_71202	35	804	300	1	5	1				1	[[9-12-1-1-1],[3-4-2-4-1],[7-3-1-2-5],[15-1-1-1-2000],[16-1-12-1-1],[17-1-32-1-1]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[3-3-2-1-1-100-0-0],[3-2-2-1-1-100-0-0],[3-1-2-1-1-100-0-0],[3-4-2-1-1-100-0-0],[3-3-2-2-1-100-0-0],[3-2-2-2-1-100-0-0],[3-1-2-2-1-100-0-0],[3-4-2-2-1-100-0-0],[3-3-2-3-1-100-0-0],[3-2-2-3-1-100-0-0],[3-1-2-3-1-100-0-0],[3-4-2-3-1-100-0-0],[3-3-2-4-1-100-0-0],[3-2-2-4-1-100-0-0],[3-1-2-4-1-100-0-0],[3-4-2-4-1-100-0-0],[3-3-2-5-1-100-0-0],[3-2-2-5-1-100-0-0],[3-1-2-5-1-100-0-0],[3-4-2-5-1-100-0-0],[3-3-1-1-1-200-0-0],[3-2-1-1-1-200-0-0],[3-1-1-1-1-200-0-0],[3-4-1-1-1-200-0-0],[3-3-1-2-1-200-0-0],[3-2-1-2-1-200-0-0],[3-1-1-2-1-200-0-0],[3-4-1-2-1-200-0-0],[3-3-1-3-1-200-0-0],[3-2-1-3-1-200-0-0],[3-1-1-3-1-200-0-0],[3-4-1-3-1-200-0-0],[3-3-1-4-1-200-0-0],[3-2-1-4-1-200-0-0],[3-1-1-4-1-200-0-0],[3-4-1-4-1-200-0-0],[3-3-1-5-1-200-0-0],[3-2-1-5-1-200-0-0],[3-1-1-5-1-200-0-0],[3-4-1-5-1-200-0-0],[7-1-3-1-1-776-0-0],[7-1-1-1-1-776-0-0],[7-1-2-1-1-776-0-0],[7-1-5-1-1-776-0-0],[7-1-6-1-1-776-0-0]	[9-16-1-1],[6-6-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1066	6	300	[1038,1]	11580	Npc/icon_boss_009.png	Npc/image_boss_09.png		5	0		[0]	[1]				
7	1	2	Level7_1(精英)	65	1	1	1			37	804	300	2	10	1				1	[[15-2-1-1-40],[7-1-4-2-5],[15-1-1-1-4000]]	[15-1-1-1-2000-10000]	[9-16-1-1-1-2400-0-0],[7-2-1-3-1-494-0-0],[3-2-3-1-1-1-0-0],[3-3-3-1-1-1-0-0],[3-4-3-1-1-1-0-0],[3-1-3-1-1-1-0-0],[7-2-1-2-1-988-0-0],[3-2-2-1-1-6-0-0],[3-3-2-1-1-6-0-0],[3-4-2-1-1-6-0-0],[3-1-2-1-1-6-0-0],[7-1-1-2-2-2660-0-0],[7-2-1-1-3-2964-0-0],[3-2-1-1-1-116-0-0],[3-3-1-1-1-116-0-0],[3-4-1-1-1-116-0-0],[3-1-1-1-1-116-0-0]	[9-16-1-1],[6-6-2-3],[7-2-1-3],[6-6-2-2],[7-2-1-2],[7-1-1-2],[6-6-2-1],[7-2-1-1]	2055	12	600	[1102,2],[952,18],[1162,18],[1117,1],[1121,4],[1126,6],[1131,7]	13200				5	0		[0]	[1]				
7	2	2	Level7_2(精英)	66	1	1	1			38	804	300	2	10	1				1	[[15-2-1-1-40],[7-1-4-2-5],[15-1-1-1-4000]]	[15-1-1-1-2000-10000]	[9-16-1-1-1-2400-0-0],[7-2-2-3-1-494-0-0],[3-2-3-3-1-1-0-0],[3-3-3-3-1-1-0-0],[3-4-3-3-1-1-0-0],[3-1-3-3-1-1-0-0],[7-2-2-2-1-988-0-0],[3-2-2-3-1-6-0-0],[3-3-2-3-1-6-0-0],[3-4-2-3-1-6-0-0],[3-1-2-3-1-6-0-0],[7-1-2-2-2-2660-0-0],[7-2-2-1-3-2964-0-0],[3-2-1-3-1-116-0-0],[3-3-1-3-1-116-0-0],[3-4-1-3-1-116-0-0],[3-1-1-3-1-116-0-0]	[9-16-1-1],[6-6-4-3],[7-2-2-3],[6-6-4-2],[7-2-2-2],[7-1-2-2],[6-6-4-1],[7-2-2-1]	2056	12	600	[984,1],[952,12],[1162,10],[1101,6],[1106,4],[1111,4],[1127,1],[1116,3],[1132,1]	13300				5	0		[0]	[1]				
7	3	2	Level7_3(精英)	67	1	1	1			39	804	300	2	10	1				1	[[7-7-1-4-1],[7-1-4-2-5],[15-1-1-1-4000]]	[15-1-1-1-2000-10000]	[9-16-1-1-1-2400-0-0],[7-2-6-3-1-494-0-0],[3-2-3-5-1-1-0-0],[3-3-3-5-1-1-0-0],[3-4-3-5-1-1-0-0],[3-1-3-5-1-1-0-0],[7-2-6-2-1-988-0-0],[3-2-2-5-1-6-0-0],[3-3-2-5-1-6-0-0],[3-4-2-5-1-6-0-0],[3-1-2-5-1-6-0-0],[7-1-6-2-2-2660-0-0],[7-2-6-1-3-2964-0-0],[3-2-1-5-1-116-0-0],[3-3-1-5-1-116-0-0],[3-4-1-5-1-116-0-0],[3-1-1-5-1-116-0-0]	[9-16-1-1],[6-6-6-3],[7-2-6-3],[6-6-6-2],[7-2-6-2],[7-1-6-2],[6-6-6-1],[7-2-6-1]	2057	12	600	[961,11],[1221,6],[1043,13],[950,2],[1151,15],[978,2],[951,2],[949,2],[981,1]	13500				5	0		[2]	[0]				
7	4	2	Level7_4(精英)	68	1	1	1			40	804	300	2	10	1				1	[[15-2-1-1-40],[7-1-4-2-5],[15-1-1-1-4000]]	[15-1-1-1-2000-10000]	[9-16-1-1-1-2400-0-0],[7-2-5-3-1-494-0-0],[3-2-3-4-1-1-0-0],[3-3-3-4-1-1-0-0],[3-4-3-4-1-1-0-0],[3-1-3-4-1-1-0-0],[7-2-5-2-1-988-0-0],[3-2-2-4-1-6-0-0],[3-3-2-4-1-6-0-0],[3-4-2-4-1-6-0-0],[3-1-2-4-1-6-0-0],[7-1-5-2-2-2660-0-0],[7-2-5-1-3-2964-0-0],[3-2-1-4-1-116-0-0],[3-3-1-4-1-116-0-0],[3-4-1-4-1-116-0-0],[3-1-1-4-1-116-0-0]	[9-16-1-1],[6-6-5-3],[7-2-5-3],[6-6-5-2],[7-2-5-2],[7-1-5-2],[6-6-5-1],[7-2-5-1]	2058	12	600	[1151,18],[952,8],[1216,3],[1043,6],[996,1],[961,4],[951,2],[1121,3],[1221,3],[949,2],[1217,1]	13700				5	0		[2]	[0]				
